Job_Title,Company_Title,Company_Slogan,Job_Type,Location,Work_Location,Industry,Employes_Count,Posted_Ago,Job_Link
"Managing Director, Short Hills",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Short Hills,,,"26,494",last month,https://www.welcometothejungle.com/en/companies/hermes/jobs/managing-director-short-hills_short-hills_HERMS_2reQamj
Program Support Manager,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Grand Prairie,No remote work,Aeronautics / Space,"14,000",29 days ago,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/program-support-manager_grand-prairie_SED_e4yAxlQ
Actively hiring!,Opal,Focus app to enhance presence and reduce distractions.,Permanent contract,New York,Fully-remote,"Mobile Apps, Software",24,last month,https://www.welcometothejungle.com/en/companies/opal/jobs/youth-advocacy-success-manager_new-york
Operations Tech I,LFB,"Biomédicaments pour maladies graves et rares, dérivés du plasma.",Permanent contract,Charlton,No remote work,Pharmaceutical / Biotech,"2,900",last month,https://www.welcometothejungle.com/en/companies/lfb/jobs/operations-tech-i_charlton
"US Analyst, RPC Counterparty Risk",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Fixed-term / Temporary,New York,,"Banking, Finance","10,400",last month,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/us-analyst-rpc-counterparty-risk_new-york
"VP, Liquidity Reporting Analyst",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,"Banking, Finance","10,400",last month,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vp-liquidity-reporting-analyst_new-york
Senior Accountant,Motul,Lubrifiants haute-performance pour moteurs et industrie.,Permanent contract,Cypress,No remote work,Automotive,750,last month,https://www.welcometothejungle.com/en/companies/motul/jobs/senior-accountant_cypress
Materials Coordinator M/F,VINCI Construction,"Construction d'infrastructures, bâtiments et aménagements urbains.",Permanent contract,Chicago,,Building / Public Works,"117,000",last month,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/other-m-f_chicago
Mobile Service Performance Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-coach_los-angeles
"Operations Staffing Manager, Louisville, KY",Gojob,Plateforme de service pour l'emploi avec technologies et IA.,Fixed-term / Temporary,Louisville,No remote work,"Mobile Apps, SaaS / Cloud Services",240,last month,https://www.welcometothejungle.com/en/companies/gojob/jobs/operations-staffing-manager-louisville-ky_louisville
AI Scientist - Palo Alto,Mistral Ai,Modèles d'IA ouverts et accessibles pour l'innovation générative.,Permanent contract,Palo Alto,A few days at home,"Artificial Intelligence / Machine Learning, IT / Digital",280,last month,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/ai-scientist-palo-alto_palo-alto
Accounting & Financial Analyst,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Grand Prairie,No remote work,Aeronautics / Space,"14,000",last month,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/financial-analyst_grand-prairie
Head of Liquidity Reporting,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,"Banking, Finance","10,400",last month,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/head-of-liquidity-reporting_new-york
Implementation Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Cleveland,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/implementation-specialist_cleveland
Accounting Specialist,SAFRAN POWER UNITS,Solutions innovantes de conception et réparation en aéronautique.,Permanent contract,Grand Prairie,No remote work,Aeronautics / Space,780,last month,https://www.welcometothejungle.com/en/companies/safran-power-units/jobs/accounting-manager_grand-prairie
Accounting & Finance Manager,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Grand Prairie,No remote work,Aeronautics / Space,"14,000",last month,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/accounting-finance-manager_grand-prairie
Operations Intern- Data Science,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Internship,Grand Prairie,No remote work,Aeronautics / Space,"14,000",last month,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/operations-intern_grand-prairie_SED_kl5aKP3
"VP, CUSO Compliance Risk Assessment Officer",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,"Banking, Finance","10,400",last month,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vp-cuso-compliance-risk-assessment-officer_new-york_CAC_NyNeDl1
