Job_Title,Company_Title,Company_Slogan,Job_Type,Location,Work_Location,Industry,Employes_Count,Posted_Ago,Job_Link
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_southfield_MI_63xWwA9
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Los Angeles,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_southfield
Apprentice Technical Trainer,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,,Work study,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/apprentice-technical-trainer_mahwah
Operations and Payroll manager F/H,VINCI Construction,"Construction d'infrastructures, bâtiments et aménagements urbains.",Permanent contract,Boca Raton,,Building / Public Works,"117,000",last month,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/operations-and-payroll-manager-f-h_boca-raton
Administrative specialist F/H,VINCI Construction,"Construction d'infrastructures, bâtiments et aménagements urbains.",Permanent contract,Boca Raton,,Building / Public Works,"117,000",last month,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/administrative-specialist-f-h_boca-raton
Market Tire Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,New Haven,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/market-performance-manager_new-haven
Applications Engineer – Treatment Technologies,SUEZ,Gestion de l'eau et des déchets pour une transition écologique durable.,Permanent contract,Chicago,,"Environment / Sustainable Development, SocialTech / GreenTech","40,000",2 months ago,https://www.welcometothejungle.com/en/companies/suez/jobs/applications-engineer-treatment-technologies_chicago
Vehicle Buyback Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Fountain Valley,,Automotive,420,2 months ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/vehicle-buyback-specialist_fountain-valley
"Procurement Manager, Contract Manufacturing",Prose,"Custom, made-to-order hair and skin products using a tech-driven approach.",Permanent contract,Brooklyn,No remote work,"Artificial Intelligence / Machine Learning, Cosmetics",306,13 hours ago,https://www.welcometothejungle.com/en/companies/prose/jobs/procurement-manager-contract-manufacturing_brooklyn
Enterprise Sales Leader,Mistral Ai,Modèles d'IA ouverts et accessibles pour l'innovation générative.,Permanent contract,San Francisco,A few days at home,"Artificial Intelligence / Machine Learning, IT / Digital",280,3 days ago,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/enterprise-sales-leader_san-francisco
Strategic Account Lead,Equativ,Advertising monetization platform for major websites.,Permanent contract,Los Angeles,A few days at home,AdTech / MarTech,700,3 days ago,https://www.welcometothejungle.com/en/companies/equativ/jobs/strategic-account-lead_los-angeles
Major Account Executive,Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Detroit,,"Software, IT / Digital","4,600",3 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/major-account-executive_detroit
Key Account Manager- OEM Americas,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Irvine,No remote work,Aeronautics / Space,"14,000",5 days ago,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/key-account-manager-oem-americas_irvine
Capital Markets IT/Electronic Trading Americas Lead,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,"Banking, Finance","10,400",4 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/capital-markets-it-electronic-trading-americas-lead_new-york
Manager in Marketing Analytics & Data Science - New York,Ekimetrics,Solutions d'IA pour une performance business durable.,Permanent contract,New York,A few days at home,"IT / Digital, Strategy",500,5 days ago,https://www.welcometothejungle.com/en/companies/ekimetrics/jobs/manager-in-marketing-analytics-data-science-new-york_new-york
Project Manager,SAFRAN POWER UNITS,Solutions innovantes de conception et réparation en aéronautique.,Permanent contract,Grand Prairie,No remote work,Aeronautics / Space,780,7 days ago,https://www.welcometothejungle.com/en/companies/safran-power-units/jobs/project-manager_grand-prairie
Aircraft Subsystems Architect - Engineer,SOGECLAIR,Solutions innovantes pour une mobilité sobre et sûre.,Permanent contract,Wichita,No remote work,,"1,100",11 days ago,https://www.welcometothejungle.com/en/companies/groupe-sogeclair/jobs/aircraft-subsystems-architect-engineer_wichita
Sales Director - Atlanta - Logistics & Manufacturing,Gojob,Plateforme de service pour l'emploi avec technologies et IA.,Permanent contract,Atlanta,No remote work,"Mobile Apps, SaaS / Cloud Services",240,9 days ago,https://www.welcometothejungle.com/en/companies/gojob/jobs/sales-director-atlanta-logistics-manufacturing_atlanta
Collateral Management Middle Office,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,"Banking, Finance","10,400",11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/collateral-management-middle-office_new-york
"Strategic Customer Success Manager, Northeast",Dataiku,The Universal AI Platform for managing and building AI initiatives.,Permanent contract,New York,No remote work,"Software, Artificial Intelligence / Machine Learning","1,000",11 days ago,https://www.welcometothejungle.com/en/companies/dataiku/jobs/strategic-customer-success-manager-northeast_new-york
J202602060 Field Service Technician 2,Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Tampa,,"Software, IT / Digital","4,600",12 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/j202602060-field-service-technician-2_tampa
Key Account Manager- US Military & Defense,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Irvine,No remote work,Aeronautics / Space,"14,000",12 days ago,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/key-account-manager-us-military-defense_irvine
Account Executive,Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Milwaukee,,"Software, IT / Digital","4,600",15 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/account-executive_milwaukee
J202603004 Field Service Technician (Open),Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Dallas,,"Software, IT / Digital","4,600",16 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/j202603004-field-service-technician-open_dallas
Entreprise Account Executive,MakiPeople,AI-powered agents that transform HR into a strategic powerhouse.,Permanent contract,New York,No remote work,"Software, SaaS / Cloud Services",50,15 days ago,https://www.welcometothejungle.com/en/companies/maki/jobs/entreprise-account-executive_new-york
Liaison MRB Engineer,SOGECLAIR,Solutions innovantes pour une mobilité sobre et sûre.,Permanent contract,Wichita,No remote work,,"1,100",15 days ago,https://www.welcometothejungle.com/en/companies/groupe-sogeclair/jobs/liaison-mrb-engineer_wichita
Channel Distribution Manager,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Watertown,,"Electronics / Telecommunications, SocialTech / GreenTech","4,400",15 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/channel-distribution-manager_watertown
Senior Account Executive – Automotive (North East USA),Diffusely,AI media enhancement for automotive visual production.,Permanent contract,Raleigh,Fully-remote,"Software, Artificial Intelligence / Machine Learning",200,15 days ago,https://www.welcometothejungle.com/en/companies/diffusely/jobs/senior-sales-executive-automotive-saas-north-east-usa_raleigh
Commercial Manager,Ekimetrics,Solutions d'IA pour une performance business durable.,Permanent contract,New York,A few days at home,"IT / Digital, Strategy",500,16 days ago,https://www.welcometothejungle.com/en/companies/ekimetrics/jobs/sales-manager_new-york_EKIME_qyoQKVg
Customer Success Manager,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Watertown,,"Electronics / Telecommunications, SocialTech / GreenTech","4,400",19 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/customer-success-manager_watertown
Buyer,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Suwanee,,"Electronics / Telecommunications, SocialTech / GreenTech","4,400",19 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/buyer_suwanee_SOCOM_8OR1V6m
Account Executive,Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Denver,,"Software, IT / Digital","4,600",22 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/account-executive_boise
J202602047 Field Service Technician 2,Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Washington,,"Software, IT / Digital","4,600",23 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/j202602047-field-service-technician-2_washington
Sales Manager – Pacific Northwest (People Leader Role),Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Seattle,,"Software, IT / Digital","4,600",23 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/sales-manager_seattle
Inventory Planning Manager,Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Manhattan,,,"26,494",23 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/inventory-planning-manager_manhattan_HERMS_qGWR5mr
Talent Acquisition - US (Contractor),Mistral Ai,Modèles d'IA ouverts et accessibles pour l'innovation générative.,Permanent contract,Palo Alto,A few days at home,"Artificial Intelligence / Machine Learning, IT / Digital",280,24 days ago,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/talent-acquisition-us-contractor_palo-alto
Technical Program Lead,Kraken,Éditeur de logiciel pour énergies renouvelables.,Permanent contract,New York,A few days at home,"Environment / Sustainable Development, SaaS / Cloud Services","1,828",last month,https://www.welcometothejungle.com/en/companies/kraken/jobs/program-technical-lead_new-york
"Account Manager, Mid-Market",Botify,AI-powered platform for optimizing organic search and performance marketing.,Permanent contract,New York,A few days at home,"Software, SaaS / Cloud Services",150,29 days ago,https://www.welcometothejungle.com/en/companies/botify/jobs/account-manager-mid-market_new-york_BOTIF_j7gpWPJ
Sales Manager - People Leader,Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Detroit,,"Software, IT / Digital","4,600",last month,https://www.welcometothejungle.com/en/companies/quadient/jobs/sales-manager-people-leader_detroit
Director of Program Management,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Irvine,No remote work,Aeronautics / Space,"14,000",last month,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/director-of-program-management_irvine
"VP, Reasoning Systems",Dataiku,The Universal AI Platform for managing and building AI initiatives.,Permanent contract,New York,No remote work,"Software, Artificial Intelligence / Machine Learning","1,000",last month,https://www.welcometothejungle.com/en/companies/dataiku/jobs/vp-industry-solutions_remote
Senior Account Executive - SaaS Automotive (Pacific USA),Diffusely,AI media enhancement for automotive visual production.,Permanent contract,Los Angeles,Fully-remote,"Software, Artificial Intelligence / Machine Learning",200,last month,https://www.welcometothejungle.com/en/companies/diffusely/jobs/senior-account-executive-automotive-pacific-west-usa_raleigh
Senior Account Executive – SaaS Automotive (Midwest USA),Diffusely,AI media enhancement for automotive visual production.,Permanent contract,Columbus,Fully-remote,"Software, Artificial Intelligence / Machine Learning",200,last month,https://www.welcometothejungle.com/en/companies/diffusely/jobs/senior-account-executive-automotive-midwest-usa_columbus
IT Support Specialist,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Suwanee,A few days at home,"Electronics / Telecommunications, SocialTech / GreenTech","4,400",last month,https://www.welcometothejungle.com/en/companies/socomec/jobs/it-support-specialist_suwanee
Export Compliance Principal Specialist,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Irvine,No remote work,Aeronautics / Space,"14,000",last month,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/export-compliance-principal-specialist_irvine
Export Compliance Principal Specialist,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Grand Prairie,No remote work,Aeronautics / Space,"14,000",last month,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/export-compliance-principal-specialist_grand-prairie
Enterprise Account Executive - US,Qevlar AI,AI-powered SaaS for operational cybersecurity teams,Permanent contract,New York,Fully-remote,"Artificial Intelligence / Machine Learning, SaaS / Cloud Services",40,last month,https://www.welcometothejungle.com/en/companies/qevlar-ai/jobs/enterprise-account-executive-us_new-york
Travel Coordinator,L-Acoustics,Systèmes de sonorisation professionnelle haut de gamme.,Permanent contract,Camarillo,No remote work,"Software, Music","1,000",last month,https://www.welcometothejungle.com/en/companies/l-acoustics/jobs/travel-coordinator_westlake
BDC Agent,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/bdc-agent_southfield
Infrastructure Solution Architect - US,Mistral Ai,Modèles d'IA ouverts et accessibles pour l'innovation générative.,Permanent contract,Palo Alto,Fully-remote,"Artificial Intelligence / Machine Learning, IT / Digital",280,last month,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/deployment-strategist-ai-hybrid-cloud-us_palo-alto
SEO Consultant [Opening soon],Botify,AI-powered platform for optimizing organic search and performance marketing.,Permanent contract,New York,No remote work,"Software, SaaS / Cloud Services",150,last month,https://www.welcometothejungle.com/en/companies/botify/jobs/seo-consultant-opening-soon_new-york_BOTIF_lwGgKoV
Mid Market Account Executive,Crossbeam,Ecosystem Revenue Platform for GTM teams to unlock opportunities and accelerate deals.,Permanent contract,Philadelphia,No remote work,"Software, SaaS / Cloud Services",128,last month,https://www.welcometothejungle.com/en/companies/reveal/jobs/mid-market-account-executive_paris
Instructional Designer,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Warwick,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/instructional-designer_warwick_MI_ANeNKPw
